modelo,tipo_modelo,metodo_busqueda,mean_test_score,std_test_score,rank_test_score,mean_train_score,std_train_score,params
Decision Tree Classifier,classification,GridSearchCV,0.5050293683957447,0.017673945053802004,67,0.6763080768206575,0.007008221711867506,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5037400858697889,0.015818253982084432,68,0.6725623130048659,0.006357513321319523,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.5036809154231593,0.015549181722388188,69,0.6953387199236138,0.008849761543925501,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5007442830145005,0.01174431641108053,70,0.6872342947924995,0.00764017154386302,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.5007442830145005,0.01174431641108053,70,0.6872342947924995,0.00764017154386302,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 5, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.5007150735516219,0.015669051390580575,72,0.7037130738786047,0.008765143862676066,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': 10, 'modelo__min_samples_leaf': 1, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.49405828285198794,0.00983499392353098,73,0.7443862038076492,0.001615375426297557,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': None, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.4867462418976144,0.005981770532333103,74,0.7590742044793165,0.0014414898819977713,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': None, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.4867462418976144,0.005981770532333103,74,0.7590742044793165,0.0014414898819977713,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'gini', 'modelo__max_depth': None, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
Decision Tree Classifier,classification,GridSearchCV,0.48538261588984566,0.009347261579068074,76,0.752795974105214,0.0010617635268319826,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': None, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 25}"
Decision Tree Classifier,classification,GridSearchCV,0.4846882694885511,0.00929398222438484,77,0.7673092997621429,0.0012073378884780272,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': None, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 2}"
Decision Tree Classifier,classification,GridSearchCV,0.4846882694885511,0.00929398222438484,77,0.7673092997621429,0.0012073378884780272,"{'modelo__class_weight': 'balanced', 'modelo__criterion': 'entropy', 'modelo__max_depth': None, 'modelo__min_samples_leaf': 10, 'modelo__min_samples_split': 10}"
